Id,Name,Url Mask,SKU(Unique),Product Type,Combinations,Default category(id),Other Categories(comma seperated id),Brand Id,Price,Offer price,Price Unit,Cost of Product,Current inventory,Min Quantity to Sell,Max Quantity to Sell,Low stock level,Position,Status,SEO title,SEO keywords,Seo description,Default image,Other images,Short desc,Description
,Kismis,kismis,KISMIS-100,standard,,1,12,,56,0,100gm,,100,1,10,3,,A,Kismis | Premium Raisins,"Kismis, Raisins, Premium, Dry Fruit",Premium raisins,kismis.jpg,,Premium raisins,"<section> <h3>Kismis (Raisins)</h3> <p>Kismis, or raisins, are sweet dried grapes used in sweets, snacks, and festive recipes. They are rich in iron and natural sugars.</p> <ul> <li>Premium raisins – sweet and chewy</li> <li>Rich in iron and antioxidants</li> <li>Perfect for sweets and snacks</li> <li>Essential for festive cooking</li> </ul> </section>"
,Kismis,kismis-250,KISMIS-250,standard,,1,12,,140,0,250gm,,100,1,10,3,,A,Kismis 250 | Quality Raisins,"Kismis, Raisins, Quality, 250gm",Quality raisins 250gm pack,kismis-250.jpg,,Quality raisins 250gm,"<section> <h3>Kismis 250gm</h3> <p>Kismis, or raisins, are naturally sweet dried grapes. The 250gm pack is perfect for small households, used in sweets, snacks, and festive recipes.</p> <ul> <li>Premium raisins – sweet and chewy</li> <li>Rich in iron and antioxidants</li> <li>Perfect for sweets and snacks</li> <li>Convenient 250gm pack</li> </ul> </section>"
,Kismis,kismis-500,KISMIS-500,standard,,1,12,,275,0,500gm,,100,1,10,3,,A,Kismis 500 | Bulk Raisins,"Kismis, Raisins, Bulk, 500gm",Bulk raisins 500gm pack,kismis-500.jpg,,Bulk raisins 500gm,"<section> <h3>Kismis 500gm</h3> <p>Kismis in a 500gm pack offers bulk quantity for families. These raisins are nutritious and versatile, used in desserts, snacks, and cooking.</p> <ul> <li>Bulk pack raisins – sweet and chewy</li> <li>Rich in iron and natural sugars</li> <li>Perfect for festive cooking</li> <li>Convenient 500gm family pack</li> </ul> </section>"
,Kaju,kaju,KAJU-100,standard,,1,12,,95,0,100gm,,100,1,10,3,,A,Kaju | Premium Cashews,"Kaju, Cashews, Premium, Dry Fruit",Premium cashews,kaju.jpg,,Premium cashews,"<section> <h3>Kaju (Cashews)</h3> <p>Kaju, or cashews, are premium dry fruits with a rich, creamy flavor. They are used in sweets, curries, and snacks, offering nutrition and taste.</p> <ul> <li>Premium cashews – rich flavor</li> <li>Supports heart and brain health</li> <li>Perfect for sweets and curries</li> <li>Essential dry fruit for Indian kitchens</li> </ul> </section>"
,Kaju Split,kaju-split,KAJU-SPLIT-100,standard,,1,12,,88,0,100gm,,100,1,10,3,,A,Kaju Split | Split Cashews,"Kaju Split, Cashews, Split, Dry Fruit",Split cashews for cooking,kaju-split.jpg,,Split cashews for cooking,"<section> <h3>Kaju Split</h3> <p>Kaju Split are halved cashews, convenient for cooking and baking. They add rich flavor and texture to sweets, curries, and festive dishes.</p> <ul> <li>Split cashews – easy to use</li> <li>Rich creamy flavor</li> <li>Perfect for sweets and curries</li> <li>Nutritious and versatile</li> </ul> </section>"
,Ganesh Sooji,ganesh-sooji,GANESH-SOOJI-100,standard,,1,8,,12,0,200gm,,100,1,10,3,,A,Ganesh Sooji | Semolina Flour,"Ganesh, Sooji, Semolina, Flour",Semolina flour for cooking,ganesh-sooji.jpg,,Semolina flour,"<section> <h3>Ganesh Sooji (Semolina)</h3> <p>Ganesh Sooji is premium semolina flour, used in sweets, snacks, and breakfast dishes. It is nutritious and versatile for Indian cooking.</p> <ul> <li>Premium semolina flour</li> <li>Perfect for halwa, upma, and snacks</li> <li>Rich in protein and fiber</li> <li>Essential for Indian kitchens</li> </ul> </section>"
,Besan Loose,besan-loose,BESAN-100,standard,,1,8,,35,0,500gm,,100,1,10,3,,A,Besan Loose | Gram Flour,"Besan, Gram Flour, Loose",Loose gram flour for cooking,besan-loose.jpg,,Loose gram flour,"<section> <h3>Besan Loose (Gram Flour)</h3> <p>Besan is gram flour used in pakoras, sweets, and curries. Loose besan offers convenience and freshness for everyday cooking.</p> <ul> <li>Gram flour – versatile ingredient</li> <li>Perfect for pakoras and sweets</li> <li>Rich in protein and fiber</li> <li>Essential for Indian cooking</li> </ul> </section>"
,TATA tea gold ,tata-tea-gold-250gm,TATA-TEA-GOLD-250,standard,,2,18,,130,0,250gm,,100,1,10,3,,A,Tata Tea Gold 250gm | Premium Tea Blend,"Tata Tea Gold, Premium, Tea Blend, 250gm",Premium tea blend 250gm,tata-tea-gold-250gm.jpg,,Premium tea blend 250gm,<section> <h3>Tata Tea Gold 250gm</h3> <p>Tata Tea Gold is a premium tea blend offering rich flavor and aroma. The 250gm pack is perfect for small households.</p> <ul> <li>Premium tea blend – rich taste</li> <li>Fresh aroma – energizing brew</li> <li>Convenient 250gm pack</li> <li>Perfect for everyday tea lovers</li> </ul> </section>
,TATA tea gold ,tata-tea-gold-500gm,TATA-TEA-GOLD-500,standard,,2,18,,225,0,500gm,,100,1,10,3,,A,Tata Tea Gold 500gm | Rich Tea Blend,"Tata Tea Gold, Rich, Tea Blend, 500gm",Rich tea blend 500gm,tata-tea-gold-500gm.jpg,,Rich tea blend 500gm,<section> <h3>Tata Tea Gold 500gm</h3> <p>Tata Tea Gold in a 500gm pack offers bulk quantity for families. It delivers premium taste and aroma in every cup.</p> <ul> <li>Rich tea blend – premium flavor</li> <li>Fresh aroma – energizing brew</li> <li>Convenient 500gm family pack</li> <li>Perfect for tea enthusiasts</li> </ul> </section>
,TATA tea gold ,tata-tea-gold-100gm,TATA-TEA-GOLD-100,standard,,2,18,,48,0,100gm,,100,1,10,3,,A,Tata Tea Gold 100gm | Quality Tea Blend,"Tata Tea Gold, Quality, Tea Blend, 100gm",Quality tea blend 100gm,tata-tea-gold-100gm.jpg,,Quality tea blend 100gm,<section> <h3>Tata Tea Gold 100gm</h3> <p>Tata Tea Gold in a 100gm pack is ideal for trial or small households. It offers the same premium taste and aroma in a compact size.</p> <ul> <li>Premium tea blend – rich taste</li> <li>Fresh aroma – energizing brew</li> <li>Convenient 100gm pack</li> <li>Perfect for small households</li> </ul> </section>
,Nescafe,nescafe-10,NESCAFE-10,standard,,2,18,,10,0,4gm,,100,1,10,3,,A,Nescafe 10 | Instant Coffee Sachet,"Nescafe, Instant Coffee, Sachet, 10",Instant coffee sachet,nescafe-10.jpg,,Instant coffee sachet,"<section> <h3>Nescafe 10</h3> <p>Nescafe 10 is an instant coffee sachet, offering quick and convenient coffee preparation. Perfect for travel, office, or home use.</p> <ul> <li>Instant coffee sachet – quick brew</li> <li>Rich flavor – energizing taste</li> <li>Convenient single-serve pack</li> <li>Perfect for on-the-go coffee lovers</li> </ul> </section>"
,Nescafe classic ,nescafe-classic-25gm,NESCAFE-CLASSIC-25,standard,,2,18,,130,120,25gm,,100,1,10,3,,A,Nescafe Classic 25gm | Instant Coffee Jar,"Nescafe Classic, Instant Coffee, 25gm",Instant coffee classic 25gm jar,nescafe-classic-25gm.jpg,,Instant coffee classic 25gm,<section> <h3>Nescafe Classic 25gm</h3> <p>Nescafe Classic is a rich instant coffee made from carefully roasted beans. The 25gm pack is perfect for small households or trial use.</p> <ul> <li>Instant coffee – quick and easy to prepare</li> <li>Rich flavor – energizing taste</li> <li>Convenient 25gm pack</li> <li>Perfect for everyday coffee lovers</li> </ul> </section>
,Black Salt,black-salt,BLACK-SALT-100,standard,,1,13,,5,0,100gm,,100,1,10,3,,A,Black Salt | Authentic Indian Salt,"Black Salt, Authentic, Indian Salt",Authentic Indian black salt,black-salt.jpg,,Authentic Indian black salt,"<section> <h3>Black Salt</h3> <p>Black Salt, or kala namak, is a traditional Indian salt with a distinct sulfurous flavor. It is used in chaats, raitas, and Ayurvedic remedies.</p> <ul> <li>Authentic Indian black salt</li> <li>Distinct flavor – enhances chaats and raitas</li> <li>Supports digestion and wellness</li> <li>Essential for Indian street food</li> </ul> </section>"
,TATA salt,tata-salt-1kg,TATA-SALT-1KG,standard,,1,13,,26,0,1kg,,100,1,10,3,,A,Tata Salt 1kg | Iodized Salt,"Tata Salt, Iodized, Pure, 1kg",Pure iodized salt 1kg,tata-salt-1kg.jpg,,Pure iodized salt 1kg,"<section> <h3>Tata Salt 1kg</h3> <p>Tata Salt is pure iodized salt, trusted by households across India. The 1kg pack is ideal for family use, ensuring health and taste in every meal.</p> <ul> <li>Pure iodized salt – trusted quality</li> <li>Supports thyroid health</li> <li>Convenient 1kg family pack</li> <li>Essential for everyday cooking</li> </ul> </section>"
,TATA salt,tata-salt-500gm,TATA-SALT-500,standard,,1,13,,13,0,500gm,,100,1,10,3,,A,Tata Salt 500gm | Pure Iodized Salt,"Tata Salt, Iodized, Pure, 500gm",Pure iodized salt 500gm,tata-salt-500gm.jpg,,Pure iodized salt 500gm,<section> <h3>Tata Salt 500gm</h3> <p>Tata Salt in a 500gm pack offers pure iodized salt in a convenient size. Perfect for small households and everyday cooking.</p> <ul> <li>Pure iodized salt – trusted quality</li> <li>Supports thyroid health</li> <li>Convenient 500gm pack</li> <li>Essential for daily meals</li> </ul> </section>
,Sugar M,sugar-m,SUGAR-M-100,standard,,1,13,,47,0,1kg,,100,1,10,3,,A,Sugar M | Premium Sugar,"Sugar M, Premium, Refined, Sweetener",Premium refined sugar,sugar-m.jpg,,Premium refined sugar,"<section> <h3>Sugar M</h3> <p>Sugar M is premium refined sugar, perfect for desserts, beverages, and everyday cooking. It dissolves quickly and adds sweetness to recipes.</p> <ul> <li>Premium refined sugar</li> <li>Quick dissolving – perfect for drinks</li> <li>Enhances sweets and desserts</li> <li>Essential for everyday cooking</li> </ul> </section>"
,Sugar M,sugar-m-500gm,SUGAR-M-500,standard,,1,13,,24,0,500gm,,100,1,10,3,,A,Sugar M 500gm | Refined Sugar,"Sugar M, Refined, Sweetener, 500gm",Refined sugar 500gm pack,sugar-m-500gm.jpg,,Refined sugar 500gm,<section> <h3>Sugar M 500gm</h3> <p>Sugar M in a 500gm pack offers refined sugar in a convenient size. Perfect for small households and daily use.</p> <ul> <li>Refined sugar – premium quality</li> <li>Quick dissolving – ideal for beverages</li> <li>Convenient 500gm pack</li> <li>Essential for sweets and cooking</li> </ul> </section>
,Amulspray,amulspray-100gm,AMULSPRAY-100,standard,,2,"18,19",,50,48,100gm,,100,1,10,3,,A,Amulspray 100gm | Infant Milk Powder,"Amulspray, Infant Milk Powder, 100gm",Infant milk powder 100gm,amulspray-100gm.jpg,,Infant milk powder 100gm,<section> <h3>Amulspray 100gm</h3> <p>Amulspray is infant milk powder trusted by mothers for decades. The 100gm pack is convenient for trial or travel use.</p> <ul> <li>Infant milk powder – trusted quality</li> <li>Rich in nutrients for growth</li> <li>Convenient 100gm pack</li> <li>Perfect for travel or small households</li> </ul> </section>
,Amulspray,amulspray-200gm,AMULSPRAY-200,standard,,2,"18,19",,100,98,200gm,,100,1,10,3,,A,Amulspray 200gm | Baby Milk Powder,"Amulspray, Baby Milk Powder, 200gm",Baby milk powder 200gm,amulspray-200gm.jpg,,Baby milk powder 200gm,<section> <h3>Amulspray 200gm</h3> <p>Amulspray in a 200gm pack provides infant milk powder with essential nutrients. Ideal for daily feeding and small families.</p> <ul> <li>Infant milk powder – nutritious</li> <li>Supports healthy growth</li> <li>Convenient 200gm pack</li> <li>Trusted by mothers across India</li> </ul> </section>
,Amulspray,amulspray-500gm,AMULSPRAY-500,standard,,2,"18,19",,250,240,500gm,,100,1,10,3,,A,Amulspray 500gm | Milk Powder for Infants,"Amulspray, Milk Powder, Infant, 500gm",Infant milk powder 500gm,amulspray-500gm.jpg,,Infant milk powder 500gm,<section> <h3>Amulspray 500gm</h3> <p>Amulspray in a 500gm pack offers infant milk powder in bulk quantity. Perfect for regular use and family needs.</p> <ul> <li>Infant milk powder – premium quality</li> <li>Supports infant nutrition</li> <li>Convenient 500gm family pack</li> <li>Trusted brand for decades</li> </ul> </section>
,Brooke bond Taaza,brooke-bond-taza,BROOKE-BOND-TAZA-100,standard,,2,18,,25,0,100gm,,100,1,10,3,,A,Brooke Bond Taza | Strong Tea Blend,"Brooke Bond, Taza, Strong, Tea Blend",Strong tea blend,brooke-bond-taza.jpg,,Strong tea blend,<section> <h3>Brooke Bond Taza</h3> <p>Brooke Bond Taza is a strong tea blend loved for its bold flavor and refreshing aroma. Perfect for energizing mornings and family tea times.</p> <ul> <li>Strong tea blend – bold flavor</li> <li>Fresh aroma – energizing brew</li> <li>Perfect for family tea times</li> <li>Trusted brand for generations</li> </ul> </section>
,Rock Salt,rock-salt,ROCK-SALT-100,standard,,1,13,,8,10,100gm,,100,1,10,3,,A,Rock Salt | Natural Mineral Salt,"Rock Salt, Natural, Mineral, Salt",Natural mineral rock salt,rock-salt.jpg,,Natural mineral rock salt,"<section> <h3>Rock Salt</h3> <p>Rock Salt, also known as sendha namak, is a natural mineral salt used in cooking and Ayurvedic remedies. It has a mild flavor and is often used during fasting.</p> <ul> <li>Natural mineral salt – mild taste</li> <li>Supports digestion and wellness</li> <li>Perfect for fasting recipes</li> <li>Essential for traditional Indian cooking</li> </ul> </section>"
,Dabur Honey,dabur-honey,DABUR-HONEY-100,standard,,3,26,,125,115,250gm,,100,1,10,3,,A,Dabur Honey | Pure Natural Honey,"Dabur, Honey, Pure, Natural",Pure natural honey,dabur-honey.jpg,,Pure natural honey,"<section> <h3>Dabur Honey</h3> <p>Dabur Honey is pure and natural, sourced from trusted beekeepers. It is rich in antioxidants and nutrients, making it a healthy sweetener for everyday use.</p> <ul> <li>Pure natural honey – trusted quality</li> <li>Rich in antioxidants and nutrients</li> <li>Perfect for drinks, desserts, and cooking</li> <li>Supports immunity and wellness</li> </ul> </section>"
,Saffola Honey Sundarbans,saffola-honey-sundarbans,SAFFOLA-HONEY-100,standard,,3,26,,550,285,1kg,,100,1,10,3,,A,Saffola Honey Sundarbans | Organic Sundarbans Honey,"Saffola, Honey, Sundarbans, Organic",Organic Sundarbans honey,saffola-honey-sundarbans.jpg,,Organic Sundarbans honey,"<section> <h3>Saffola Honey Sundarbans</h3> <p>Saffola Honey Sundarbans is organic honey sourced from the Sundarbans forest region. It is pure, natural, and rich in flavor and nutrients.</p> <ul> <li>Organic honey – sourced from Sundarbans</li> <li>Rich in antioxidants and minerals</li> <li>Pure and natural – no additives</li> <li>Perfect for healthy cooking and wellness</li> </ul> </section>"
